journal_id,organization
arXiv.org,Springer
Applied Sciences,IEEE Publishing
SIGMOD record,IEEE Publishing
GRADES-NDA@SIGMOD,IEEE Publishing
LOG IN,Elsevier
The VLDB journal,ACM Press
Database J. Biol. Databases Curation,Oxford Press
Undergraduate Topics in Computer Science,ACM Press
Journal on Data Semantics,ACM Press
IEEE Access,Springer
Knowledge Discovery and Data Mining,Oxford Press
Advances in Computer and Electrical Engineering,Oxford Press
ACM Computing Surveys,Springer
Theory of Computing Systems,IEEE Publishing
BDCAT,ACM Press
GRADES/NDA@SIGMOD/PODS,ACM Press
IEEE Transactions on Knowledge and Data Engineering,Oxford Press
BlockSW/CKG@ISWC,Elsevier
Trans. GIS,Elsevier
Journal of Database Management,Oxford Press
BioData Mining,ACM Press
Journal of Artificial Intelligence Research,Elsevier
PLoS ONE,Oxford Press
WorldCIST,Springer
GRADES@SIGMOD/PODS,Springer
BMC Bioinformatics,ACM Press
SDM,ACM Press
Vietnam Journal of Computer Science,ACM Press
IT Professional,Springer
ANT/SEIT,ACM Press
Artificial Intelligence Applications and Innovations,Elsevier
Computer,Elsevier
PPAA '14,ACM Press
