conference,top_3_papers
2017 IEEE International Conference on Big Data (Big Data),"[{id: d427db1ba2cc92b36d16a5e5114f1027c90fff68, title: Model driven reverse engineering of NoSQL property graph databases: The case of Neo4j, citations: 2}]"
2019 IEEE 15th International Scientific Conference on Informatics,"[{id: 13bd0e08713f0b340396634892d2c9e3c5bee548, title: Comparative study of relational and graph databases, citations: 1}]"
ACM Computing Surveys,"[{id: 59f1df2f60280eea79d195b9c561d52a77fb24de, title: Foundations of Modern Query Languages for Graph Databases, citations: 10}, {id: 689c7a86d973895a14feb984b8faa3d5581038ef, title: Demystifying Graph Databases: Analysis and Taxonomy of Data Organization, System Designs, and Graph Queries, citations: 1}, {id: f11cba099b8cf14815f7b3d85f55ecfddbf9f04d, title: An Overview of End-to-End Entity Resolution for Big Data, citations: 1}]"
ANT/SEIT,"[{id: 02808823641975868e3212fd7ae859514fdbdf32, title: Integrity constraints in graph databases, citations: 2}]"
Advances in Big Data Analytics,"[{id: 78aab73ed574393ab421f25b3a0e3f7343e64748, title: Big Data and Big Data Analytics, citations: 1}]"
Advances in Computer and Electrical Engineering,"[{id: c858ba9bce833896b49878a6793dbb382ed83c9e, title: Query Languages for Graph Databases, citations: 1}]"
Alberto Mendelzon Workshop on Foundations of Data Management,"[{id: e02acab3e0c44f425705865869f3e51f7998dd24, title: Towards Temporal Graph Databases, citations: 1}]"
American Journal of Epidemiology,"[{id: de6cf3534f39748a223b9bb2b59d2e7ffcb6ae03, title: Using Big Data to Emulate a Target Trial When a Randomized Trial Is Not Available., citations: 1}]"
Annals of Operations Research,"[{id: b0ee814c7a3eed260c9913861329c9f73e880d00, title: DEA under big data: data enabled analytics and network data envelopment analysis, citations: 1}]"
Annual Review of Pharmacology and Toxicology,"[{id: 82870bc488b57cdf5ea62877109a7278af2926b3, title: Big Data and Artificial Intelligence Modeling for Drug Discovery., citations: 1}]"
Applied Sciences,"[{id: 3876267a762615ac876df561b900aa6e564fc9b4, title: Performance of Graph and Relational Databases in Complex Queries, citations: 1}, {id: 459cf4e6476d5e19f1bc422c162bcded54ca7f95, title: Experimental Evaluation of Graph Databases: JanusGraph, Nebula Graph, Neo4j, and TigerGraph, citations: 1}]"
Archives of Computational Methods in Engineering,"[{id: 56266342b01a4f2ddc28a1e8401dbbad105736a5, title: Big Data Analytics in Weather Forecasting: A Systematic Review, citations: 1}]"
Artificial Intelligence Applications and Innovations,"[{id: 8f6e3b466c4ecc6e0ff779e58cf1b885c7b09f11, title: Exploiting RDF Open Data Using NoSQL Graph Databases, citations: 1}]"
BDCAT,"[{id: 659d8b24e53e8adfbcb1f16b26ada2cb8afa2c85, title: A Schema-First Formalism for Labeled Property Graph Databases: Enabling Structured Data Loading and Analytics, citations: 1}]"
BMC Bioinformatics,"[{id: 6cc4b0919f14bdcba4d3f1d97b04bd134bfb45c4, title: STON: exploring biological pathways using the SBGN standard and graph databases, citations: 2}]"
Big Data & Society,"[{id: ed9e7821b3e51c7e59183300d6c8cf90c8de0f26, title: COVID-19 is spatial: Ensuring that mobile Big Data is used for social good, citations: 1}, {id: 7f5cd5b1340ac06ea38bd05373c30136a6f4c1ca, title: The value of Big Data in government: The case of ‘smart cities’, citations: 1}]"
Big Data Mining and Analytics,"[{id: c24d47ff95cd4bda073c75ec24ececaa3b10c995, title: A survey of data partitioning and sampling methods to support big data analysis, citations: 1}]"
Big Data Research,"[{id: 697f2f3598057cd17cff7749d768cae0993c6727, title: A Framework for Pandemic Prediction Using Big Data Analytics, citations: 1}]"
