journal,impact_factor,total_citations,total_papers
MIS Q.,18.0,18,1
Information Sciences,14.0,14,1
International Journal of Information Management,13.0,13,1
Harvard Business Review,11.0,11,1
Information Systems,8.0,8,1
Wirtschaftsinf.,7.0,7,1
Undergraduate Topics in Computer Science,6.0,6,1
PPAA '14,5.0,5,1
ACM Computing Surveys,4.0,12,3
BioData Mining,4.0,4,1
Health Information Science and Systems,4.0,4,1
Lecture Notes in Computer Science,3.0,3,1
New England Journal of Medicine,3.0,3,1
Journal of Management Information Systems,3.0,3,1
Theory of Computing Systems,2.0,2,1
GRADES/NDA@SIGMOD/PODS,2.0,2,1
PLoS ONE,2.0,2,1
BMC Bioinformatics,2.0,2,1
ANT/SEIT,2.0,2,1
The International Journal of Advanced Manufacturing Technology,2.0,2,1
IEEE Communications Surveys and Tutorials,2.0,2,1
The Lancet Oncology,2.0,2,1
GRADES@SIGMOD/PODS,1.5,3,2
IEEE transactions on intelligent transportation systems (Print),1.5,3,2
Enterprise Information Systems,1.5,3,2
IEEE Transactions on Knowledge and Data Engineering,1.3333333333333333,4,3
IEEE Access,1.25,5,4
Journal of Big Data,1.1666666666666667,14,12
arXiv.org,1.0,4,4
Applied Sciences,1.0,2,2
SIGMOD record,1.0,1,1
GRADES-NDA@SIGMOD,1.0,1,1
LOG IN,1.0,1,1
The VLDB journal,1.0,3,3
Database J. Biol. Databases Curation,1.0,1,1
Journal on Data Semantics,1.0,1,1
Knowledge Discovery and Data Mining,1.0,1,1
Advances in Computer and Electrical Engineering,1.0,1,1
BDCAT,1.0,1,1
Trans. GIS,1.0,1,1
BlockSW/CKG@ISWC,1.0,1,1
Journal of Database Management,1.0,1,1
Journal of Artificial Intelligence Research,1.0,1,1
WorldCIST,1.0,2,2
SDM,1.0,1,1
Vietnam Journal of Computer Science,1.0,1,1
IT Professional,1.0,1,1
Artificial Intelligence Applications and Innovations,1.0,1,1
Computer,1.0,1,1
Molecular Plant,1.0,1,1
Iraqi Journal for Computers and Informatics,1.0,1,1
International Journal for Research in Applied Science and Engineering Technology,1.0,1,1
The Information Society,1.0,1,1
Military Medical Research,1.0,1,1
Big Data and Cognitive Computing,1.0,5,5
IEEE Internet of Things Journal,1.0,1,1
Frontiers in Artificial Intelligence,1.0,1,1
Chemical Reviews,1.0,1,1
Journal of Evidence-Based Medicine,1.0,1,1
Journal of the American Medical Association (JAMA),1.0,1,1
Archives of Computational Methods in Engineering,1.0,1,1
The Review of financial studies,1.0,1,1
Frontiers in Psychology,1.0,1,1
Journal of business research,1.0,1,1
New Horizons for a Data-Driven Economy,1.0,1,1
Advances in Big Data Analytics,1.0,1,1
Nature Network Boston,1.0,2,2
American Journal of Epidemiology,1.0,1,1
Review of Research in Education,1.0,1,1
Annual Review of Pharmacology and Toxicology,1.0,1,1
British Journal of Management,1.0,2,2
Nucleic Acids Res.,1.0,1,1
Management Decision,1.0,1,1
Big Data Mining and Analytics,1.0,1,1
"International Journal of Minerals, Metallurgy, and Materials",1.0,1,1
Gut,1.0,1,1
IEEE Transactions on Industrial Informatics,1.0,1,1
Big Data Research,1.0,1,1
Building Simulation,1.0,1,1
International Journal of Educational Technology in Higher Education,1.0,1,1
Nature Communications,1.0,1,1
IEEE Transactions on Big Data,1.0,1,1
Computer Communications,1.0,1,1
Annals of Operations Research,1.0,1,1
Big Data & Society,1.0,2,2
Robotics Comput. Integr. Manuf.,1.0,1,1
IEEE Transactions on Neural Networks and Learning Systems,1.0,1,1
International Journal of Data Science and Analysis,1.0,1,1
Future generations computer systems,1.0,1,1
Cities,1.0,1,1
Frontiers in Medicine,1.0,1,1
