author,h_index
A. Mazein,2
C. Auffray,2
Harsh Thakkar,2
J. Pokorný,2
Jorge Bernardino,2
Juan L. Reutter,2
M. Saqi,2
R. Chiang,2
Renzo Angles,2
A. Al-Mallahi,1
A. Amine,1
A. Ammar,1
A. Bonifati,1
A. Czerepicki,1
A. Devalle,1
A. Dhir,1
A. Gani,1
A. Ghafoor,1
A. Goyal,1
A. Gunasekaran,1
A. Jayasumana,1
A. Jervis,1
A. Kundu,1
A. Lisitsa,1
A. Lysenko,1
A. M. Rinaldi,1
A. Maccioni,1
A. Martynenko,1
A. Mazzoleni,1
A. Moody,1
A. Passarella,1
A. Picariello,1
A. Poom,1
A. Silvescu,1
A. Sîrbu,1
A. Vaisman,1
A. Wang,1
A. Xu,1
A. Ślęzak,1
AS A Commodity,1
Abbas M. Al-Bakry,1
Abdul Salam Mohamed Nainar,1
Abou Zakaria Faroukhi,1
Abulikemu Abuduweili,1
Adeel Shah,1
Ahmed Nahar,1
Aidan Hogan,1
Akashdeep Bhardwaj,1
Akshay Kansal,1
Ala I. Al-Fuqaha,1
Alan R. Williams,1
Alastair Green,1
Alberto Ferraris,1
Alessandro Morari,1
Alexander Campos,1
Ali Hassani,1
Ali Ismail,1
Alice Zhou,1
Alireza Alaei,1
Aly Fahmy,1
Amina Adadi,1
Amir Gandomi,1
Amjad Ali,1
Anding Xu,1
Andrew Beam,1
Andrew D. Selbst,1
Andrew F. Jarnuczak,1
Andrew P. McAfee,1
Andrey Gubichev,1
Anil Pacaci,1
Anne Laurent,1
Antonino Tumeo,1
Anusha M,1
Ao Li,1
Aozi Feng,1
Ariel Debrouvier,1
Arnaud Castelltort,1
Arsalan Zahid Piprani,1
Aurélien Lemay,1
Azadeh Abdollah Zadeh,1
B. Kuijpers,1
B. MacLean,1
B. Ning,1
B. Pullman,1
B. Smit,1
B. Strug,1
B. Verstockt,1
Barbora Buhnova,1
Bela Stantic,1
Benjamin W. K. Hung,1
Benoît Groz,1
Bingqing Lyu,1
Bolton,1
Byron Choi,1
C. Blome,1
C. Boldrini,1
C. Fan,1
C. Rawlings,1
C. Verdouw,1
Carlos Rojas,1
Chafik Bouhaddioui,1
Chandan Sharma,1
Cheng-Xiang Wang,1
Chengjie Chen,1
Chester Spatt,1
Chin-Chung Tsai,1
Chinmay Kundu,1
Chong-chong Qi,1
Christian Fischer,1
Christina Beneki,1
Christine Solnon,1
Christoph Buchmüller,1
Christos Tjortjis,1
