community_id,papers_in_community,total_papers
192,"[""Striving for semantic convergence with fuzzy cognitive maps and graph databases"", ""SQL2Neo: Moving health-care data from relational to graph databases"", ""Big data: The next frontier for innovation, competition, and productivity"", ""Business Intelligence and Analytics: From Big Data to Big Impact"", ""Big data: the management revolution."", ""The use of Big Data Analytics in healthcare"", ""Big Data Analytics"", ""Beyond the hype: Big data concepts, methods, and analytics"", ""Big Data Analytics in Supply Chain Management: A Systematic Literature Review and Research Directions"", ""Big data analytics and firm performance: Effects of dynamic capabilities"", ""Big-Data Science in Porous Materials: Materials Genomics and Machine Learning"", ""Big Data"", ""A survey on data‐efficient algorithms in big data era"", ""Assessing the impact of big data on firm innovation performance: Big data is not always better data"", ""Big data analytics: Understanding its capabilities and potential benefits for healthcare organizations"", ""Big Data and Big Data Analytics"", ""A Review of Local Outlier Factor Algorithms for Outlier Detection in Big Data Streams"", ""Text Mining in Big Data Analytics"", ""Big Data Analytics Capabilities and Innovation: The Mediating Role of Dynamic Capabilities and Moderating Effect of the Environment"", ""Big Data and Predictive Analytics and Manufacturing Performance: Integrating Institutional Theory, Resource‐Based View and Big Data Culture"", ""Big data analytics and enterprises: a bibliometric synthesis of the literature"", ""Big data analytics capabilities and knowledge management: impact on firm performance"", ""Uncertainty in big data analytics: survey, opportunities, and challenges"", ""Big data monetization throughout Big Data Value Chain: a comprehensive review"", ""Creating Strategic Business Value from Big Data Analytics: A Research Framework"", ""A Big Data Enabled Channel Model for 5G Wireless Communication Systems"", ""Deep learning and big data technologies for IoT security"", ""Deep Learning for IoT Big Data and Streaming Analytics: A Survey"", ""On big data, artificial intelligence and smart cities""]",29
185,"[""A Survey on Big Data Analytics: Challenges, Open Research Issues and Tools"", ""Digital twin-driven product design, manufacturing and service with big data"", ""Big data analytics for intelligent manufacturing systems: A review"", ""Traffic Flow Prediction With Big Data: A Deep Learning Approach"", ""IoT, Big Data, and Artificial Intelligence in Agriculture and Food Industry"", ""Big Data and AI Revolution in Precision Agriculture: Survey and Challenges"", ""Data mining with big data"", ""Big Data in Smart Farming – A review"", ""Critical analysis of Big Data challenges and analytical methods"", ""Big Data in Finance"", ""Big data quality framework: a holistic approach to continuous quality management"", ""Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison"", ""Data-intensive applications, challenges, techniques and technologies: A survey on Big Data"", ""The Rise of “Big Data” on Cloud Computing"", ""The rise of \""big data\"" on cloud computing: Review and open research issues"", ""Big Data-Survey"", ""Big data for cyber physical systems in industry 4.0: a survey"", ""Big Data Analytics in Intelligent Transportation Systems: A Survey"", ""Current landscape and influence of big data on finance"", ""BIM Big Data Storage in WebVRGIS"", ""Advanced data analytics for enhancing building performances: From data-driven to big data-driven approaches"", ""Big data in education: a state of the art, limitations, and future research directions"", ""Flexible and durable wood-based triboelectric nanogenerators for self-powered sensing in athletic big data analytics"", ""Big Data and Its Applications in Smart Real Estate and the Disaster Management Life Cycle: A Systematic Analysis"", ""Manufacturing big data ecosystem: A systematic literature review"", ""Big Data Analytics in Operations Management""]",26
57,"[""Experimental Evaluation of Graph Databases: JanusGraph, Nebula Graph, Neo4j, and TigerGraph"", ""An overview of graph databases and their applications in the biomedical domain"", ""Graph Databases Comparison: AllegroGraph, ArangoDB, InfiniteGraph, Neo4J, and OrientDB"", ""The Suitability of Graph Databases for Big Data Analysis: A Benchmark"", ""Graph Databases: Neo4j Analysis"", ""Performance of Graph and Relational Databases in Complex Queries"", ""Representing and querying disease networks using graph databases"", ""Comparative study of relational and graph databases"", ""Comparative Analysis of Relational and Graph Databases for Social Networks"", ""Graph Databases in Molecular Biology"", ""biochem4j: Integrated and extensible biochemical knowledge through graph databases"", ""GRAPHED: A Graph Description Diagram for Graph Databases"", ""STON: exploring biological pathways using the SBGN standard and graph databases"", ""Predictive Performance Comparison Analysis of Relational & NoSQL Graph Databases"", ""Graph databases: A survey"", ""EVALUATION OF GRAPH DATABASES PERFORMANCE THROUGH INDEXING TECHNIQUES""]",16
11,"[""The World of Graph Databases from An Industry Perspective"", ""Multilayer graphs: a unified data model for graph databases"", ""A model and query language for temporal graph databases"", ""Mapping RDF Databases to Property Graph Databases"", ""Querying in the Age of Graph Databases and Knowledge Graphs"", ""Query Languages for Graph Databases"", ""Schema Validation and Evolution for Graph Databases"", ""Regular Queries on Graph Databases"", ""Foundations of Modern Query Languages for Graph Databases"", ""Two for one: querying property graph databases using SPARQL via gremlinator"", ""Singleton Property Graph: Adding A Semantic Web Abstraction Layer to Graph Databases"", ""Modelling and Querying Star and Snowflake Warehouses Using Graph Databases"", ""Querying Wikidata: Comparing SPARQL, Relational and Graph Databases"", ""Towards Temporal Graph Databases"", ""Smart RDF Data Storage in Graph Databases"", ""Controlling Diversity in Benchmarking Graph Databases""]",16
60,"[""Neural Graph Reasoning: Complex Logical Query Answering Meets Graph Databases"", ""Neural Graph Databases"", ""Demystifying Graph Databases: Analysis and Taxonomy of Data Organization, System Designs, and Graph Queries"", ""Do We Need Specialized Graph Databases?: Benchmarking Real-Time Social Networking Applications"", ""Conceptual and Database Modelling of Graph Databases"", ""Functional querying in graph databases"", ""Scalable supergraph search in large graph databases"", ""Query Optimization Techniques In Graph Databases"", ""Integrity constraints in graph databases"", ""Graph Databases: Their Power and Limitations"", ""Using Domain-Specific Languages For Analytic Graph Databases"", ""Hermes: Dynamic Partitioning for Distributed Social Network Graph Databases"", ""Microblogging Queries on Graph Databases: An Introspection"", ""A performance evaluation of open source graph databases"", ""Model-Driven Design of Graph Databases""]",15
191,"[""Big Data Analytics: A Survey"", ""CRITICAL QUESTIONS FOR BIG DATA"", ""Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy"", ""Big Data: A Revolution That Will Transform How We Live, Work, and Think"", ""Big Data Analytics in Weather Forecasting: A Systematic Review"", ""Challenges and Future Directions of Big Data and Artificial Intelligence in Education"", ""Big Data Storage"", ""Big data in healthcare: management, analysis and future prospects"", ""Deep learning applications and challenges in big data analytics"", ""Big data management in the mining industry"", ""The value of Big Data in government: The case of ‘smart cities’"", ""COVID-19 is spatial: Ensuring that mobile Big Data is used for social good""]",12
22,"[""Graph Databases"", ""Multi-Dimensional Event Data in Graph Databases"", ""A Schema-First Formalism for Labeled Property Graph Databases: Enabling Structured Data Loading and Analytics"", ""Updating Graph Databases with Cypher"", ""Analytical queries on semantic trajectories using graph databases"", ""Designing Graph Databases With GRAPHED"", ""UMLtoGraphDB: Mapping Conceptual Schemas to Graph Databases"", ""Querying Encrypted Graph Databases"", ""Model driven reverse engineering of NoSQL property graph databases: The case of Neo4j"", ""Detecting Evidence of Fraud in the Brazilian Government Using Graph Databases"", ""Generating Flexible Workloads for Graph Databases""]",11
155,"[""Big Data's Disparate Impact"", ""Data mining in clinical big data: the frequently used databases, steps, and methodological models"", ""Brief introduction of medical database and data mining technology in big data era"", ""Predicting the Future - Big Data, Machine Learning, and Clinical Medicine."", ""Big data analytics in healthcare: promise and potential"", ""Axes of a revolution: challenges and promises of big data in healthcare"", ""Using Big Data to Emulate a Target Trial When a Randomized Trial Is Not Available."", ""Privacy in the age of medical big data"", ""Big data in IBD: big progress for clinical practice"", ""Big data and machine learning algorithms for health-care delivery.""]",10
64,"[""Scaling Lifted Probabilistic Inference and Learning Via Graph Databases"", ""Learning to Speed Up Query Planning in Graph Databases"", ""In-Memory Graph Databases for Web-Scale Data""]",3
99,"[""Improving Game Modeling for the Quoridor Game State Using Graph Databases"", ""Extracting Fuzzy Summaries from NoSQL Graph Databases"", ""Fuzzy Queries over NoSQL Graph Databases: Perspectives for Extending the Cypher Language""]",3
