journal_id,organization
arXiv.org,IEEE Publishing
Applied Sciences,ACM Press
SIGMOD record,Oxford Press
GRADES-NDA@SIGMOD,Springer
LOG IN,IEEE Publishing
The VLDB journal,Oxford Press
Database J. Biol. Databases Curation,ACM Press
Undergraduate Topics in Computer Science,ACM Press
Journal on Data Semantics,Springer
IEEE Access,Oxford Press
Knowledge Discovery and Data Mining,Elsevier
Advances in Computer and Electrical Engineering,ACM Press
ACM Computing Surveys,Elsevier
Theory of Computing Systems,IEEE Publishing
BDCAT,Oxford Press
GRADES/NDA@SIGMOD/PODS,Springer
IEEE Transactions on Knowledge and Data Engineering,IEEE Publishing
Trans. GIS,IEEE Publishing
BlockSW/CKG@ISWC,ACM Press
Journal of Database Management,ACM Press
BioData Mining,Oxford Press
Journal of Artificial Intelligence Research,Oxford Press
PLoS ONE,Springer
WorldCIST,IEEE Publishing
GRADES@SIGMOD/PODS,Oxford Press
SDM,Springer
BMC Bioinformatics,Springer
Vietnam Journal of Computer Science,Springer
IT Professional,Springer
ANT/SEIT,IEEE Publishing
Artificial Intelligence Applications and Innovations,ACM Press
Computer,Springer
PPAA '14,Springer
